#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=6.5892246517659e-11; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                                                                        #"Frequency / GHz" SZmax(2),Zmax(2) [Real/Imaginary Part] [Re] SZmax(2),Zmax(2) [Real/Imaginary Part] [Im]
                                                                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                                                                         1                                   -0.961061                                    0.273984
                                                                                                                                                                                                                                                     1.024                                   -0.959175                                    0.280405
                                                                                                                                                                                                                                                     1.048                                   -0.957244                                    0.286815
                                                                                                                                                                                                                                                     1.072                                   -0.955268                                    0.293216
                                                                                                                                                                                                                                                     1.096                                   -0.953248                                    0.299606
                                                                                                                                                                                                                                                      1.12                                   -0.951182                                    0.305986
                                                                                                                                                                                                                                                     1.144                                   -0.949072                                    0.312355
                                                                                                                                                                                                                                                     1.168                                   -0.946916                                    0.318713
                                                                                                                                                                                                                                                     1.192                                   -0.944716                                    0.325059
                                                                                                                                                                                                                                                     1.216                                   -0.942471                                    0.331394
                                                                                                                                                                                                                                                      1.24                                   -0.940181                                    0.337717
                                                                                                                                                                                                                                                     1.264                                   -0.937846                                    0.344027
                                                                                                                                                                                                                                                     1.288                                   -0.935466                                    0.350326
                                                                                                                                                                                                                                                     1.312                                   -0.933041                                    0.356611
                                                                                                                                                                                                                                                     1.336                                   -0.930571                                    0.362884
                                                                                                                                                                                                                                                      1.36                                   -0.928056                                    0.369143
                                                                                                                                                                                                                                                     1.384                                   -0.925496                                    0.375389
                                                                                                                                                                                                                                                     1.408                                   -0.922891                                    0.381621
                                                                                                                                                                                                                                                     1.432                                   -0.920242                                    0.387839
                                                                                                                                                                                                                                                     1.456                                   -0.917547                                    0.394043
                                                                                                                                                                                                                                                      1.48                                   -0.914807                                    0.400232
                                                                                                                                                                                                                                                     1.504                                   -0.912022                                    0.406406
                                                                                                                                                                                                                                                     1.528                                   -0.909192                                    0.412566
                                                                                                                                                                                                                                                     1.552                                   -0.906317                                     0.41871
