#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=6.5892246517659e-11; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                                                                        #"Frequency / GHz" SZmin(1),Zmax(1) [Real/Imaginary Part] [Re] SZmin(1),Zmax(1) [Real/Imaginary Part] [Im]
                                                                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                                                                     2.752                                    0.082522                                    0.083046
                                                                                                                                                                                                                                                     2.776                                    0.084159                                    0.083468
                                                                                                                                                                                                                                                       2.8                                    0.085818                                     0.08388
                                                                                                                                                                                                                                                     2.824                                    0.087499                                    0.084282
                                                                                                                                                                                                                                                     2.848                                    0.089203                                    0.084672
                                                                                                                                                                                                                                                     2.872                                     0.09093                                     0.08505
                                                                                                                                                                                                                                                     2.896                                     0.09268                                    0.085417
                                                                                                                                                                                                                                                      2.92                                    0.094453                                    0.085772
                                                                                                                                                                                                                                                     2.944                                     0.09625                                    0.086115
                                                                                                                                                                                                                                                     2.968                                    0.098072                                    0.086445
                                                                                                                                                                                                                                                     2.992                                    0.099917                                    0.086762
                                                                                                                                                                                                                                                     3.016                                    0.101788                                    0.087066
                                                                                                                                                                                                                                                      3.04                                    0.103684                                    0.087357
                                                                                                                                                                                                                                                     3.064                                    0.105605                                    0.087633
                                                                                                                                                                                                                                                     3.088                                    0.107552                                    0.087896
                                                                                                                                                                                                                                                     3.112                                    0.109525                                    0.088144
                                                                                                                                                                                                                                                     3.136                                    0.111525                                    0.088377
                                                                                                                                                                                                                                                      3.16                                    0.113551                                    0.088594
                                                                                                                                                                                                                                                     3.184                                    0.115605                                    0.088796
                                                                                                                                                                                                                                                     3.208                                    0.117687                                    0.088981
                                                                                                                                                                                                                                                     3.232                                    0.119797                                     0.08915
                                                                                                                                                                                                                                                     3.256                                    0.121936                                    0.089302
                                                                                                                                                                                                                                                      3.28                                    0.124103                                    0.089436
                                                                                                                                                                                                                                                     3.304                                      0.1263                                    0.089553
                                                                                                                                                                                                                                                     3.328                                    0.128527                                    0.089651
                                                                                                                                                                                                                                                     3.352                                    0.130785                                     0.08973
                                                                                                                                                                                                                                                     3.376                                    0.133073                                    0.089789
                                                                                                                                                                                                                                                       3.4                                    0.135392                                    0.089828
                                                                                                                                                                                                                                                     3.424                                    0.137744                                    0.089847
                                                                                                                                                                                                                                                     3.448                                    0.140128                                    0.089845
                                                                                                                                                                                                                                                     3.472                                    0.142544                                     0.08982
                                                                                                                                                                                                                                                     3.496                                    0.144994                                    0.089773
                                                                                                                                                                                                                                                      3.52                                    0.147478                                    0.089704
                                                                                                                                                                                                                                                     3.544                                    0.149996                                     0.08961
                                                                                                                                                                                                                                                     3.568                                     0.15255                                    0.089492
                                                                                                                                                                                                                                                     3.592                                    0.155139                                    0.089349
                                                                                                                                                                                                                                                     3.616                                    0.157764                                    0.089179
                                                                                                                                                                                                                                                      3.64                                    0.160426                                    0.088983
                                                                                                                                                                                                                                                     3.664                                    0.163126                                     0.08876
                                                                                                                                                                                                                                                     3.688                                    0.165864                                    0.088508
                                                                                                                                                                                                                                                     3.712                                     0.16864                                    0.088226
                                                                                                                                                                                                                                                     3.736                                    0.171456                                    0.087915
                                                                                                                                                                                                                                                      3.76                                    0.174312                                    0.087572
                                                                                                                                                                                                                                                     3.784                                    0.177209                                    0.087197
                                                                                                                                                                                                                                                     3.808                                    0.180148                                     0.08679
                                                                                                                                                                                                                                                     3.832                                    0.183129                                    0.086347
                                                                                                                                                                                                                                                     3.856                                    0.186152                                     0.08587
                                                                                                                                                                                                                                                      3.88                                     0.18922                                    0.085356
                                                                                                                                                                                                                                                     3.904                                    0.192332                                    0.084804
                                                                                                                                                                                                                                                     3.928                                    0.195489                                    0.084213
                                                                                                                                                                                                                                                     3.952                                    0.198693                                    0.083582
                                                                                                                                                                                                                                                     3.976                                    0.201943                                    0.082909
                                                                                                                                                                                                                                                         4                                    0.205241                                    0.082194
                                                                                                                                                                                                                                                     4.024                                    0.208588                                    0.081433
                                                                                                                                                                                                                                                     4.048                                    0.211985                                    0.080627
                                                                                                                                                                                                                                                     4.072                                    0.215432                                    0.079772
                                                                                                                                                                                                                                                     4.096                                     0.21893                                    0.078869
                                                                                                                                                                                                                                                      4.12                                     0.22248                                    0.077914
                                                                                                                                                                                                                                                     4.144                                    0.226084                                    0.076906
                                                                                                                                                                                                                                                     4.168                                    0.229741                                    0.075843
