#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=6.5892246517659e-11; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                                                                        #"Frequency / GHz" SZmin(2),Zmax(2) [Real/Imaginary Part] [Re] SZmin(2),Zmax(2) [Real/Imaginary Part] [Im]
                                                                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                                                                         1                                    0.009864                                    0.034601
                                                                                                                                                                                                                                                     1.024                                    0.010347                                    0.035398
                                                                                                                                                                                                                                                     1.048                                    0.010843                                    0.036193
                                                                                                                                                                                                                                                     1.072                                    0.011351                                    0.036986
                                                                                                                                                                                                                                                     1.096                                    0.011871                                    0.037777
                                                                                                                                                                                                                                                      1.12                                    0.012403                                    0.038566
                                                                                                                                                                                                                                                     1.144                                    0.012948                                    0.039352
                                                                                                                                                                                                                                                     1.168                                    0.013506                                    0.040137
                                                                                                                                                                                                                                                     1.192                                    0.014076                                     0.04092
                                                                                                                                                                                                                                                     1.216                                    0.014659                                      0.0417
                                                                                                                                                                                                                                                      1.24                                    0.015254                                    0.042477
                                                                                                                                                                                                                                                     1.264                                    0.015862                                    0.043253
                                                                                                                                                                                                                                                     1.288                                    0.016483                                    0.044026
                                                                                                                                                                                                                                                     1.312                                    0.017117                                    0.044796
                                                                                                                                                                                                                                                     1.336                                    0.017763                                    0.045564
                                                                                                                                                                                                                                                      1.36                                    0.018423                                    0.046329
                                                                                                                                                                                                                                                     1.384                                    0.019096                                    0.047091
                                                                                                                                                                                                                                                     1.408                                    0.019781                                     0.04785
                                                                                                                                                                                                                                                     1.432                                    0.020481                                    0.048607
                                                                                                                                                                                                                                                     1.456                                    0.021193                                     0.04936
                                                                                                                                                                                                                                                      1.48                                    0.021919                                     0.05011
                                                                                                                                                                                                                                                     1.504                                    0.022658                                    0.050857
                                                                                                                                                                                                                                                     1.528                                     0.02341                                    0.051601
                                                                                                                                                                                                                                                     1.552                                    0.024177                                    0.052342
                                                                                                                                                                                                                                                     1.576                                    0.024957                                    0.053079
                                                                                                                                                                                                                                                       1.6                                     0.02575                                    0.053812
                                                                                                                                                                                                                                                     1.624                                    0.026558                                    0.054542
                                                                                                                                                                                                                                                     1.648                                     0.02738                                    0.055269
                                                                                                                                                                                                                                                     1.672                                    0.028215                                    0.055991
                                                                                                                                                                                                                                                     1.696                                    0.029065                                     0.05671
                                                                                                                                                                                                                                                      1.72                                    0.029929                                    0.057425
                                                                                                                                                                                                                                                     1.744                                    0.030807                                    0.058136
                                                                                                                                                                                                                                                     1.768                                      0.0317                                    0.058843
                                                                                                                                                                                                                                                     1.792                                    0.032607                                    0.059545
                                                                                                                                                                                                                                                     1.816                                    0.033529                                    0.060244
                                                                                                                                                                                                                                                      1.84                                    0.034466                                    0.060937
                                                                                                                                                                                                                                                     1.864                                    0.035417                                    0.061627
                                                                                                                                                                                                                                                     1.888                                    0.036384                                    0.062312
                                                                                                                                                                                                                                                     1.912                                    0.037365                                    0.062992
                                                                                                                                                                                                                                                     1.936                                    0.038362                                    0.063667
                                                                                                                                                                                                                                                      1.96                                    0.039374                                    0.064338
                                                                                                                                                                                                                                                     1.984                                    0.040402                                    0.065003
                                                                                                                                                                                                                                                     2.008                                    0.041445                                    0.065663
                                                                                                                                                                                                                                                     2.032                                    0.042504                                    0.066318
                                                                                                                                                                                                                                                     2.056                                    0.043579                                    0.066968
                                                                                                                                                                                                                                                      2.08                                    0.044669                                    0.067613
                                                                                                                                                                                                                                                     2.104                                    0.045776                                    0.068251
                                                                                                                                                                                                                                                     2.128                                    0.046899                                    0.068884
                                                                                                                                                                                                                                                     2.152                                    0.048039                                    0.069511
                                                                                                                                                                                                                                                     2.176                                    0.049195                                    0.070133
                                                                                                                                                                                                                                                       2.2                                    0.050368                                    0.070748
                                                                                                                                                                                                                                                     2.224                                    0.051557                                    0.071357
                                                                                                                                                                                                                                                     2.248                                    0.052764                                    0.071959
                                                                                                                                                                                                                                                     2.272                                    0.053988                                    0.072555
                                                                                                                                                                                                                                                     2.296                                    0.055229                                    0.073145
                                                                                                                                                                                                                                                      2.32                                    0.056488                                    0.073728
                                                                                                                                                                                                                                                     2.344                                    0.057764                                    0.074303
                                                                                                                                                                                                                                                     2.368                                    0.059058                                    0.074872
                                                                                                                                                                                                                                                     2.392                                    0.060371                                    0.075434
                                                                                                                                                                                                                                                     2.416                                    0.061701                                    0.075988
                                                                                                                                                                                                                                                      2.44                                     0.06305                                    0.076534
                                                                                                                                                                                                                                                     2.464                                    0.064418                                    0.077073
                                                                                                                                                                                                                                                     2.488                                    0.065804                                    0.077604
                                                                                                                                                                                                                                                     2.512                                     0.06721                                    0.078127
                                                                                                                                                                                                                                                     2.536                                    0.068634                                    0.078641
                                                                                                                                                                                                                                                      2.56                                    0.070078                                    0.079148
                                                                                                                                                                                                                                                     2.584                                    0.071542                                    0.079645
                                                                                                                                                                                                                                                     2.608                                    0.073026                                    0.080134
                                                                                                                                                                                                                                                     2.632                                     0.07453                                    0.080614
                                                                                                                                                                                                                                                     2.656                                    0.076054                                    0.081084
                                                                                                                                                                                                                                                      2.68                                    0.077599                                    0.081545
                                                                                                                                                                                                                                                     2.704                                    0.079164                                    0.081997
                                                                                                                                                                                                                                                     2.728                                    0.080751                                    0.082438
                                                                                                                                                                                                                                                     2.752                                    0.082359                                    0.082869
                                                                                                                                                                                                                                                     2.776                                    0.083989                                     0.08329
                                                                                                                                                                                                                                                       2.8                                     0.08564                                    0.083701
                                                                                                                                                                                                                                                     2.824                                    0.087314                                      0.0841
                                                                                                                                                                                                                                                     2.848                                     0.08901                                    0.084489
                                                                                                                                                                                                                                                     2.872                                    0.090729                                    0.084866
                                                                                                                                                                                                                                                     2.896                                    0.092471                                    0.085231
                                                                                                                                                                                                                                                      2.92                                    0.094236                                    0.085585
                                                                                                                                                                                                                                                     2.944                                    0.096024                                    0.085926
                                                                                                                                                                                                                                                     2.968                                    0.097837                                    0.086255
                                                                                                                                                                                                                                                     2.992                                    0.099674                                    0.086571
                                                                                                                                                                                                                                                     3.016                                    0.101535                                    0.086874
                                                                                                                                                                                                                                                      3.04                                    0.103422                                    0.087163
                                                                                                                                                                                                                                                     3.064                                    0.105334                                    0.087439
                                                                                                                                                                                                                                                     3.088                                    0.107271                                      0.0877
                                                                                                                                                                                                                                                     3.112                                    0.109234                                    0.087947
                                                                                                                                                                                                                                                     3.136                                    0.111224                                    0.088179
                                                                                                                                                                                                                                                      3.16                                     0.11324                                    0.088396
                                                                                                                                                                                                                                                     3.184                                    0.115284                                    0.088597
                                                                                                                                                                                                                                                     3.208                                    0.117354                                    0.088782
                                                                                                                                                                                                                                                     3.232                                    0.119453                                     0.08895
                                                                                                                                                                                                                                                     3.256                                    0.121581                                    0.089101
                                                                                                                                                                                                                                                      3.28                                    0.123737                                    0.089235
                                                                                                                                                                                                                                                     3.304                                    0.125922                                    0.089352
                                                                                                                                                                                                                                                     3.328                                    0.128137                                    0.089449
                                                                                                                                                                                                                                                     3.352                                    0.130382                                    0.089528
                                                                                                                                                                                                                                                     3.376                                    0.132657                                    0.089588
                                                                                                                                                                                                                                                       3.4                                    0.134964                                    0.089627
                                                                                                                                                                                                                                                     3.424                                    0.137302                                    0.089647
                                                                                                                                                                                                                                                     3.448                                    0.139672                                    0.089645
                                                                                                                                                                                                                                                     3.472                                    0.142074                                    0.089621
                                                                                                                                                                                                                                                     3.496                                     0.14451                                    0.089575
                                                                                                                                                                                                                                                      3.52                                    0.146979                                    0.089506
                                                                                                                                                                                                                                                     3.544                                    0.149483                                    0.089414
                                                                                                                                                                                                                                                     3.568                                    0.152021                                    0.089297
                                                                                                                                                                                                                                                     3.592                                    0.154594                                    0.089155
                                                                                                                                                                                                                                                     3.616                                    0.157204                                    0.088988
                                                                                                                                                                                                                                                      3.64                                    0.159849                                    0.088794
                                                                                                                                                                                                                                                     3.664                                    0.162532                                    0.088572
                                                                                                                                                                                                                                                     3.688                                    0.165253                                    0.088323
                                                                                                                                                                                                                                                     3.712                                    0.168012                                    0.088044
                                                                                                                                                                                                                                                     3.736                                     0.17081                                    0.087736
                                                                                                                                                                                                                                                      3.76                                    0.173647                                    0.087396
                                                                                                                                                                                                                                                     3.784                                    0.176525                                    0.087025
                                                                                                                                                                                                                                                     3.808                                    0.179445                                    0.086621
                                                                                                                                                                                                                                                     3.832                                    0.182405                                    0.086183
                                                                                                                                                                                                                                                     3.856                                    0.185409                                     0.08571
                                                                                                                                                                                                                                                      3.88                                    0.188455                                    0.085201
                                                                                                                                                                                                                                                     3.904                                    0.191546                                    0.084655
                                                                                                                                                                                                                                                     3.928                                    0.194681                                     0.08407
                                                                                                                                                                                                                                                     3.952                                    0.197862                                    0.083445
                                                                                                                                                                                                                                                     3.976                                     0.20109                                    0.082778
                                                                                                                                                                                                                                                         4                                    0.204364                                     0.08207
                                                                                                                                                                                                                                                     4.024                                    0.207687                                    0.081317
                                                                                                                                                                                                                                                     4.048                                    0.211059                                    0.080519
                                                                                                                                                                                                                                                     4.072                                     0.21448                                    0.079673
                                                                                                                                                                                                                                                     4.096                                    0.217952                                    0.078779
                                                                                                                                                                                                                                                      4.12                                    0.221476                                    0.077834
                                                                                                                                                                                                                                                     4.144                                    0.225052                                    0.076836
                                                                                                                                                                                                                                                     4.168                                    0.228681                                    0.075785
