#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=9.296889e-12; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                                  Unnamed: 1                                                  Unnamed: 2
                                                                                                                                                                                                                                 #"Frequency / GHz" SZmax(2),Zmax(2) (e=9.29689e-12) [Real/Imaginary Part] [Re] SZmax(2),Zmax(2) (e=9.29689e-12) [Real/Imaginary Part] [Im]
                                                                                                     #---------------------------------------------------------------------------------------------------------------------------------------------                                                         NaN                                                         NaN
                                                                                                                                                                                                                                                  1                                                    0.015163                                                    0.050079
                                                                                                                                                                                                                                              1.024                                                     0.01584                                                    0.051115
                                                                                                                                                                                                                                              1.048                                                    0.016534                                                    0.052146
                                                                                                                                                                                                                                              1.072                                                    0.017243                                                    0.053171
                                                                                                                                                                                                                                              1.096                                                    0.017969                                                    0.054189
                                                                                                                                                                                                                                               1.12                                                    0.018711                                                    0.055202
                                                                                                                                                                                                                                              1.144                                                    0.019468                                                    0.056207
                                                                                                                                                                                                                                              1.168                                                    0.020242                                                    0.057206
                                                                                                                                                                                                                                              1.192                                                    0.021032                                                    0.058198
                                                                                                                                                                                                                                              1.216                                                    0.021838                                                    0.059183
                                                                                                                                                                                                                                               1.24                                                    0.022659                                                    0.060161
                                                                                                                                                                                                                                              1.264                                                    0.023497                                                    0.061131
                                                                                                                                                                                                                                              1.288                                                     0.02435                                                    0.062093
                                                                                                                                                                                                                                              1.312                                                    0.025218                                                    0.063047
                                                                                                                                                                                                                                              1.336                                                    0.026102                                                    0.063993
                                                                                                                                                                                                                                               1.36                                                    0.027002                                                    0.064931
                                                                                                                                                                                                                                              1.384                                                    0.027917                                                    0.065859
                                                                                                                                                                                                                                              1.408                                                    0.028848                                                    0.066779
                                                                                                                                                                                                                                              1.432                                                    0.029793                                                     0.06769
                                                                                                                                                                                                                                              1.456                                                    0.030754                                                    0.068592
                                                                                                                                                                                                                                               1.48                                                     0.03173                                                    0.069484
                                                                                                                                                                                                                                              1.504                                                    0.032721                                                    0.070367
                                                                                                                                                                                                                                              1.528                                                    0.033727                                                    0.071239
                                                                                                                                                                                                                                              1.552                                                    0.034747                                                    0.072102
                                                                                                                                                                                                                                              1.576                                                    0.035782                                                    0.072954
                                                                                                                                                                                                                                                1.6                                                    0.036832                                                    0.073796
                                                                                                                                                                                                                                              1.624                                                    0.037896                                                    0.074628
                                                                                                                                                                                                                                              1.648                                                    0.038975                                                    0.075448
                                                                                                                                                                                                                                              1.672                                                    0.040068                                                    0.076257
                                                                                                                                                                                                                                              1.696                                                    0.041175                                                    0.077056
                                                                                                                                                                                                                                               1.72                                                    0.042296                                                    0.077842
                                                                                                                                                                                                                                              1.744                                                    0.043431                                                    0.078617
                                                                                                                                                                                                                                              1.768                                                    0.044579                                                    0.079381
                                                                                                                                                                                                                                              1.792                                                    0.045742                                                    0.080132
                                                                                                                                                                                                                                              1.816                                                    0.046918                                                    0.080871
                                                                                                                                                                                                                                               1.84                                                    0.048107                                                    0.081598
                                                                                                                                                                                                                                              1.864                                                    0.049309                                                    0.082312
                                                                                                                                                                                                                                              1.888                                                    0.050525                                                    0.083013
                                                                                                                                                                                                                                              1.912                                                    0.051754                                                    0.083702
                                                                                                                                                                                                                                              1.936                                                    0.052995                                                    0.084378
                                                                                                                                                                                                                                               1.96                                                     0.05425                                                     0.08504
                                                                                                                                                                                                                                              1.984                                                    0.055516                                                    0.085689
                                                                                                                                                                                                                                              2.008                                                    0.056796                                                    0.086324
                                                                                                                                                                                                                                              2.032                                                    0.058087                                                    0.086946
                                                                                                                                                                                                                                              2.056                                                    0.059391                                                    0.087553
                                                                                                                                                                                                                                               2.08                                                    0.060707                                                    0.088147
                                                                                                                                                                                                                                              2.104                                                    0.062034                                                    0.088726
                                                                                                                                                                                                                                              2.128                                                    0.063374                                                    0.089291
                                                                                                                                                                                                                                              2.152                                                    0.064724                                                    0.089841
                                                                                                                                                                                                                                              2.176                                                    0.066086                                                    0.090377
                                                                                                                                                                                                                                                2.2                                                     0.06746                                                    0.090898
                                                                                                                                                                                                                                              2.224                                                    0.068844                                                    0.091404
                                                                                                                                                                                                                                              2.248                                                    0.070239                                                    0.091894
                                                                                                                                                                                                                                              2.272                                                    0.071645                                                    0.092369
                                                                                                                                                                                                                                              2.296                                                    0.073062                                                    0.092829
                                                                                                                                                                                                                                               2.32                                                    0.074489                                                    0.093274
                                                                                                                                                                                                                                              2.344                                                    0.075926                                                    0.093702
                                                                                                                                                                                                                                              2.368                                                    0.077373                                                    0.094115
                                                                                                                                                                                                                                              2.392                                                     0.07883                                                    0.094511
                                                                                                                                                                                                                                              2.416                                                    0.080297                                                    0.094891
                                                                                                                                                                                                                                               2.44                                                    0.081773                                                    0.095256
