#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=9.296889e-12; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                                                                 #"Frequency / GHz" SZmin(2),Zmax(2) [Real/Imaginary Part] [Re] SZmin(2),Zmax(2) [Real/Imaginary Part] [Im]
                                                                                                                                     #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                                                               3.04                                    0.619915                                   -0.769358
                                                                                                                                                                                                                                              3.064                                    0.614369                                   -0.773539
                                                                                                                                                                                                                                              3.088                                    0.608793                                   -0.777678
                                                                                                                                                                                                                                              3.112                                     0.60319                                   -0.781775
                                                                                                                                                                                                                                              3.136                                    0.597558                                   -0.785831
                                                                                                                                                                                                                                               3.16                                    0.591898                                   -0.789844
                                                                                                                                                                                                                                              3.184                                    0.586212                                   -0.793815
                                                                                                                                                                                                                                              3.208                                    0.580498                                   -0.797744
                                                                                                                                                                                                                                              3.232                                    0.574757                                    -0.80163
                                                                                                                                                                                                                                              3.256                                    0.568991                                   -0.805474
                                                                                                                                                                                                                                               3.28                                    0.563198                                   -0.809275
                                                                                                                                                                                                                                              3.304                                    0.557379                                   -0.813032
                                                                                                                                                                                                                                              3.328                                    0.551535                                   -0.816746
                                                                                                                                                                                                                                              3.352                                    0.545666                                   -0.820417
                                                                                                                                                                                                                                              3.376                                    0.539772                                   -0.824044
                                                                                                                                                                                                                                                3.4                                    0.533854                                   -0.827627
                                                                                                                                                                                                                                              3.424                                    0.527912                                   -0.831167
                                                                                                                                                                                                                                              3.448                                    0.521947                                   -0.834662
                                                                                                                                                                                                                                              3.472                                    0.515958                                   -0.838113
                                                                                                                                                                                                                                              3.496                                    0.509946                                    -0.84152
                                                                                                                                                                                                                                               3.52                                    0.503911                                   -0.844882
                                                                                                                                                                                                                                              3.544                                    0.497855                                   -0.848199
                                                                                                                                                                                                                                              3.568                                    0.491776                                   -0.851471
                                                                                                                                                                                                                                              3.592                                    0.485675                                   -0.854699
                                                                                                                                                                                                                                              3.616                                    0.479554                                   -0.857881
                                                                                                                                                                                                                                               3.64                                    0.473411                                   -0.861018
                                                                                                                                                                                                                                              3.664                                    0.467248                                    -0.86411
                                                                                                                                                                                                                                              3.688                                    0.461065                                   -0.867156
                                                                                                                                                                                                                                              3.712                                    0.454862                                   -0.870156
                                                                                                                                                                                                                                              3.736                                    0.448639                                   -0.873111
                                                                                                                                                                                                                                               3.76                                    0.442398                                   -0.876019
                                                                                                                                                                                                                                              3.784                                    0.436137                                   -0.878882
                                                                                                                                                                                                                                              3.808                                    0.429858                                   -0.881698
                                                                                                                                                                                                                                              3.832                                    0.423561                                   -0.884469
                                                                                                                                                                                                                                              3.856                                    0.417247                                   -0.887192
                                                                                                                                                                                                                                               3.88                                    0.410915                                    -0.88987
                                                                                                                                                                                                                                              3.904                                    0.404565                                     -0.8925
                                                                                                                                                                                                                                              3.928                                      0.3982                                   -0.895085
                                                                                                                                                                                                                                              3.952                                    0.391818                                   -0.897622
                                                                                                                                                                                                                                              3.976                                     0.38542                                   -0.900112
                                                                                                                                                                                                                                                  4                                    0.379006                                   -0.902556
                                                                                                                                                                                                                                              4.024                                    0.372578                                   -0.904952
                                                                                                                                                                                                                                              4.048                                    0.366134                                   -0.907301
                                                                                                                                                                                                                                              4.072                                    0.359676                                   -0.909603
                                                                                                                                                                                                                                              4.096                                    0.353204                                   -0.911858
                                                                                                                                                                                                                                               4.12                                    0.346718                                   -0.914065
                                                                                                                                                                                                                                              4.144                                    0.340218                                   -0.916225
                                                                                                                                                                                                                                              4.168                                    0.333706                                   -0.918337
                                                                                                                                                                                                                                              4.192                                     0.32718                                   -0.920401
                                                                                                                                                                                                                                              4.216                                    0.320643                                   -0.922418
                                                                                                                                                                                                                                               4.24                                    0.314093                                   -0.924387
