#Parameters = {d=6.875; d_passa_faixa=11.118252561128; e=3.984381e-11; l=5; p=11; p_passa_faixa=11.773094507628; phi=0; r=300; theta=0; u=1.2566e-06; w=0.6875; w_passa_faixa=0.13385049465315; z_fss=0.2}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                        #"Frequency / GHz" SZmin(2),Zmax(2) [Real/Imaginary Part] [Re] SZmin(2),Zmax(2) [Real/Imaginary Part] [Im]
                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                         1                                    0.948632                                   -0.304295
                                                                                                                                                                                                     1.024                                    0.946274                                   -0.311327
                                                                                                                                                                                                     1.048                                    0.943862                                   -0.318339
                                                                                                                                                                                                     1.072                                    0.941395                                   -0.325333
                                                                                                                                                                                                     1.096                                    0.938875                                   -0.332307
                                                                                                                                                                                                      1.12                                    0.936301                                   -0.339261
                                                                                                                                                                                                     1.144                                    0.933673                                   -0.346195
                                                                                                                                                                                                     1.168                                    0.930991                                   -0.353108
                                                                                                                                                                                                     1.192                                    0.928256                                       -0.36
                                                                                                                                                                                                     1.216                                    0.925468                                   -0.366871
                                                                                                                                                                                                      1.24                                    0.922627                                   -0.373719
                                                                                                                                                                                                     1.264                                    0.919733                                   -0.380546
                                                                                                                                                                                                     1.288                                    0.916787                                   -0.387349
                                                                                                                                                                                                     1.312                                    0.913788                                   -0.394129
                                                                                                                                                                                                     1.336                                    0.910736                                   -0.400886
                                                                                                                                                                                                      1.36                                    0.907633                                   -0.407618
                                                                                                                                                                                                     1.384                                    0.904478                                   -0.414326
                                                                                                                                                                                                     1.408                                    0.901271                                   -0.421009
                                                                                                                                                                                                     1.432                                    0.898012                                   -0.427667
                                                                                                                                                                                                     1.456                                    0.894702                                   -0.434299
                                                                                                                                                                                                      1.48                                    0.891341                                   -0.440905
                                                                                                                                                                                                     1.504                                    0.887929                                   -0.447484
                                                                                                                                                                                                     1.528                                    0.884467                                   -0.454037
                                                                                                                                                                                                     1.552                                    0.880954                                   -0.460562
                                                                                                                                                                                                     1.576                                    0.877391                                    -0.46706
                                                                                                                                                                                                       1.6                                    0.873777                                   -0.473529
                                                                                                                                                                                                     1.624                                    0.870114                                    -0.47997
                                                                                                                                                                                                     1.648                                    0.866402                                   -0.486382
                                                                                                                                                                                                     1.672                                     0.86264                                   -0.492765
                                                                                                                                                                                                     1.696                                    0.858829                                   -0.499118
                                                                                                                                                                                                      1.72                                    0.854969                                   -0.505441
                                                                                                                                                                                                     1.744                                     0.85106                                   -0.511733
                                                                                                                                                                                                     1.768                                    0.847103                                   -0.517995
                                                                                                                                                                                                     1.792                                    0.843098                                   -0.524226
                                                                                                                                                                                                     1.816                                    0.839045                                   -0.530424
                                                                                                                                                                                                      1.84                                    0.834944                                   -0.536591
                                                                                                                                                                                                     1.864                                    0.830796                                   -0.542726
                                                                                                                                                                                                     1.888                                    0.826601                                   -0.548828
                                                                                                                                                                                                     1.912                                    0.822359                                   -0.554896
                                                                                                                                                                                                     1.936                                     0.81807                                   -0.560932
                                                                                                                                                                                                      1.96                                    0.813735                                   -0.566933
                                                                                                                                                                                                     1.984                                    0.809354                                     -0.5729
                                                                                                                                                                                                     2.008                                    0.804927                                   -0.578833
                                                                                                                                                                                                     2.032                                    0.800455                                    -0.58473
                                                                                                                                                                                                     2.056                                    0.795937                                   -0.590592
                                                                                                                                                                                                      2.08                                    0.791374                                   -0.596419
                                                                                                                                                                                                     2.104                                    0.786766                                    -0.60221
                                                                                                                                                                                                     2.128                                    0.782115                                   -0.607964
                                                                                                                                                                                                     2.152                                    0.777418                                   -0.613681
                                                                                                                                                                                                     2.176                                    0.772679                                   -0.619362
                                                                                                                                                                                                       2.2                                    0.767895                                   -0.625005
                                                                                                                                                                                                     2.224                                    0.763068                                    -0.63061
                                                                                                                                                                                                     2.248                                    0.758199                                   -0.636177
                                                                                                                                                                                                     2.272                                    0.753286                                   -0.641705
                                                                                                                                                                                                     2.296                                    0.748332                                   -0.647195
                                                                                                                                                                                                      2.32                                    0.743335                                   -0.652646
                                                                                                                                                                                                     2.344                                    0.738296                                   -0.658057
                                                                                                                                                                                                     2.368                                    0.733216                                   -0.663428
                                                                                                                                                                                                     2.392                                    0.728095                                   -0.668759
                                                                                                                                                                                                     2.416                                    0.722933                                    -0.67405
                                                                                                                                                                                                      2.44                                    0.717731                                     -0.6793
                                                                                                                                                                                                     2.464                                    0.712489                                   -0.684508
                                                                                                                                                                                                     2.488                                    0.707206                                   -0.689676
                                                                                                                                                                                                     2.512                                    0.701884                                   -0.694801
                                                                                                                                                                                                     2.536                                    0.696523                                   -0.699885
                                                                                                                                                                                                      2.56                                    0.691123                                   -0.704926
                                                                                                                                                                                                     2.584                                    0.685685                                   -0.709924
                                                                                                                                                                                                     2.608                                    0.680208                                   -0.714879
                                                                                                                                                                                                     2.632                                    0.674694                                   -0.719791
                                                                                                                                                                                                     2.656                                    0.669142                                   -0.724659
                                                                                                                                                                                                      2.68                                    0.663553                                   -0.729484
                                                                                                                                                                                                     2.704                                    0.657927                                   -0.734264
                                                                                                                                                                                                     2.728                                    0.652264                                   -0.738999
                                                                                                                                                                                                     2.752                                    0.646566                                    -0.74369
                                                                                                                                                                                                     2.776                                    0.640832                                   -0.748336
                                                                                                                                                                                                       2.8                                    0.635062                                   -0.752936
                                                                                                                                                                                                     2.824                                    0.629257                                    -0.75749
                                                                                                                                                                                                     2.848                                    0.623418                                   -0.761999
                                                                                                                                                                                                     2.872                                    0.617544                                   -0.766461
                                                                                                                                                                                                     2.896                                    0.611636                                   -0.770877
                                                                                                                                                                                                      2.92                                    0.605695                                   -0.775246
                                                                                                                                                                                                     2.944                                    0.599721                                   -0.779567
                                                                                                                                                                                                     2.968                                    0.593713                                   -0.783842
                                                                                                                                                                                                     2.992                                    0.587673                                   -0.788068
                                                                                                                                                                                                     3.016                                    0.581602                                   -0.792247
                                                                                                                                                                                                      3.04                                    0.575498                                   -0.796378
                                                                                                                                                                                                     3.064                                    0.569363                                    -0.80046
                                                                                                                                                                                                     3.088                                    0.563197                                   -0.804494
                                                                                                                                                                                                     3.112                                    0.557001                                   -0.808478
                                                                                                                                                                                                     3.136                                    0.550774                                   -0.812413
                                                                                                                                                                                                      3.16                                    0.544518                                   -0.816299
                                                                                                                                                                                                     3.184                                    0.538232                                   -0.820136
                                                                                                                                                                                                     3.208                                    0.531917                                   -0.823922
                                                                                                                                                                                                     3.232                                    0.525574                                   -0.827658
                                                                                                                                                                                                     3.256                                    0.519202                                   -0.831344
                                                                                                                                                                                                      3.28                                    0.512803                                   -0.834979
                                                                                                                                                                                                     3.304                                    0.506376                                   -0.838563
                                                                                                                                                                                                     3.328                                    0.499923                                   -0.842096
                                                                                                                                                                                                     3.352                                    0.493442                                   -0.845577
