#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=9.296889e-12; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                                  Unnamed: 1                                                  Unnamed: 2
                                                                                                                                                                                                                                 #"Frequency / GHz" SZmin(1),Zmax(1) (e=9.29689e-12) [Real/Imaginary Part] [Re] SZmin(1),Zmax(1) (e=9.29689e-12) [Real/Imaginary Part] [Im]
                                                                                                     #---------------------------------------------------------------------------------------------------------------------------------------------                                                         NaN                                                         NaN
                                                                                                                                                                                                                                               2.92                                                     0.64721                                                    -0.74784
                                                                                                                                                                                                                                              2.944                                                    0.641811                                                   -0.752224
                                                                                                                                                                                                                                              2.968                                                    0.636383                                                   -0.756569
                                                                                                                                                                                                                                              2.992                                                    0.630924                                                   -0.760872
                                                                                                                                                                                                                                              3.016                                                    0.625436                                                   -0.765135
                                                                                                                                                                                                                                               3.04                                                    0.619918                                                   -0.769357
                                                                                                                                                                                                                                              3.064                                                    0.614371                                                   -0.773537
                                                                                                                                                                                                                                              3.088                                                    0.608796                                                   -0.777676
                                                                                                                                                                                                                                              3.112                                                    0.603192                                                   -0.781774
                                                                                                                                                                                                                                              3.136                                                    0.597561                                                   -0.785829
                                                                                                                                                                                                                                               3.16                                                    0.591901                                                   -0.789843
                                                                                                                                                                                                                                              3.184                                                    0.586214                                                   -0.793814
                                                                                                                                                                                                                                              3.208                                                    0.580501                                                   -0.797743
                                                                                                                                                                                                                                              3.232                                                     0.57476                                                   -0.801629
                                                                                                                                                                                                                                              3.256                                                    0.568993                                                   -0.805473
                                                                                                                                                                                                                                               3.28                                                      0.5632                                                   -0.809274
                                                                                                                                                                                                                                              3.304                                                    0.557382                                                   -0.813031
                                                                                                                                                                                                                                              3.328                                                    0.551538                                                   -0.816745
                                                                                                                                                                                                                                              3.352                                                    0.545669                                                   -0.820416
                                                                                                                                                                                                                                              3.376                                                    0.539775                                                   -0.824043
                                                                                                                                                                                                                                                3.4                                                    0.533857                                                   -0.827627
                                                                                                                                                                                                                                              3.424                                                    0.527915                                                   -0.831166
                                                                                                                                                                                                                                              3.448                                                    0.521949                                                   -0.834661
                                                                                                                                                                                                                                              3.472                                                     0.51596                                                   -0.838112
                                                                                                                                                                                                                                              3.496                                                    0.509948                                                   -0.841519
                                                                                                                                                                                                                                               3.52                                                    0.503914                                                   -0.844881
                                                                                                                                                                                                                                              3.544                                                    0.497857                                                   -0.848198
                                                                                                                                                                                                                                              3.568                                                    0.491778                                                   -0.851471
                                                                                                                                                                                                                                              3.592                                                    0.485677                                                   -0.854698
                                                                                                                                                                                                                                              3.616                                                    0.479556                                                    -0.85788
                                                                                                                                                                                                                                               3.64                                                    0.473413                                                   -0.861017
                                                                                                                                                                                                                                              3.664                                                     0.46725                                                   -0.864109
                                                                                                                                                                                                                                              3.688                                                    0.461067                                                   -0.867155
                                                                                                                                                                                                                                              3.712                                                    0.454864                                                   -0.870156
                                                                                                                                                                                                                                              3.736                                                    0.448641                                                    -0.87311
                                                                                                                                                                                                                                               3.76                                                    0.442399                                                   -0.876019
                                                                                                                                                                                                                                              3.784                                                    0.436139                                                   -0.878881
                                                                                                                                                                                                                                              3.808                                                     0.42986                                                   -0.881698
                                                                                                                                                                                                                                              3.832                                                    0.423563                                                   -0.884468
                                                                                                                                                                                                                                              3.856                                                    0.417248                                                   -0.887192
                                                                                                                                                                                                                                               3.88                                                    0.410916                                                   -0.889869
                                                                                                                                                                                                                                              3.904                                                    0.404567                                                     -0.8925
                                                                                                                                                                                                                                              3.928                                                    0.398201                                                   -0.895084
                                                                                                                                                                                                                                              3.952                                                    0.391819                                                   -0.897622
