#Parameters = {d=6.875; d_passa_faixa=11.118252561128; e=3.984381e-11; l=5; p=11; p_passa_faixa=11.773094507628; phi=0; r=300; theta=0; u=1.2566e-06; w=0.6875; w_passa_faixa=0.13385049465315; z_fss=0.2}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                        #"Frequency / GHz" SZmax(1),Zmax(1) [Real/Imaginary Part] [Re] SZmax(1),Zmax(1) [Real/Imaginary Part] [Im]
                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                     3.112                                   -0.093994                                   -0.056365
                                                                                                                                                                                                     3.136                                   -0.095233                                   -0.056025
                                                                                                                                                                                                      3.16                                   -0.096474                                   -0.055668
                                                                                                                                                                                                     3.184                                   -0.097717                                   -0.055295
                                                                                                                                                                                                     3.208                                   -0.098961                                   -0.054905
                                                                                                                                                                                                     3.232                                   -0.100206                                   -0.054498
                                                                                                                                                                                                     3.256                                   -0.101452                                   -0.054076
                                                                                                                                                                                                      3.28                                   -0.102699                                   -0.053636
                                                                                                                                                                                                     3.304                                   -0.103946                                    -0.05318
                                                                                                                                                                                                     3.328                                   -0.105194                                   -0.052707
                                                                                                                                                                                                     3.352                                   -0.106442                                   -0.052217
                                                                                                                                                                                                     3.376                                   -0.107691                                    -0.05171
                                                                                                                                                                                                       3.4                                   -0.108939                                   -0.051187
                                                                                                                                                                                                     3.424                                   -0.110187                                   -0.050646
                                                                                                                                                                                                     3.448                                   -0.111434                                   -0.050088
                                                                                                                                                                                                     3.472                                   -0.112681                                   -0.049514
                                                                                                                                                                                                     3.496                                   -0.113928                                   -0.048922
                                                                                                                                                                                                      3.52                                   -0.115173                                   -0.048313
                                                                                                                                                                                                     3.544                                   -0.116417                                   -0.047687
                                                                                                                                                                                                     3.568                                   -0.117659                                   -0.047044
                                                                                                                                                                                                     3.592                                     -0.1189                                   -0.046384
                                                                                                                                                                                                     3.616                                   -0.120139                                   -0.045706
                                                                                                                                                                                                      3.64                                   -0.121377                                   -0.045011
                                                                                                                                                                                                     3.664                                   -0.122612                                   -0.044299
                                                                                                                                                                                                     3.688                                   -0.123845                                   -0.043569
                                                                                                                                                                                                     3.712                                   -0.125075                                   -0.042822
                                                                                                                                                                                                     3.736                                   -0.126303                                   -0.042057
                                                                                                                                                                                                      3.76                                   -0.127528                                   -0.041275
                                                                                                                                                                                                     3.784                                   -0.128749                                   -0.040476
                                                                                                                                                                                                     3.808                                   -0.129968                                   -0.039659
                                                                                                                                                                                                     3.832                                   -0.131182                                   -0.038825
                                                                                                                                                                                                     3.856                                   -0.132394                                   -0.037973
                                                                                                                                                                                                      3.88                                   -0.133601                                   -0.037103
                                                                                                                                                                                                     3.904                                   -0.134804                                   -0.036216
                                                                                                                                                                                                     3.928                                   -0.136003                                   -0.035311
                                                                                                                                                                                                     3.952                                   -0.137198                                   -0.034389
                                                                                                                                                                                                     3.976                                   -0.138387                                   -0.033449
                                                                                                                                                                                                         4                                   -0.139572                                   -0.032492
                                                                                                                                                                                                     4.024                                   -0.140752                                   -0.031517
