#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=9.296889e-12; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                                  Unnamed: 1                                                  Unnamed: 2
                                                                                                                                                                                                                                 #"Frequency / GHz" SZmax(1),Zmax(1) (e=9.29689e-12) [Real/Imaginary Part] [Re] SZmax(1),Zmax(1) (e=9.29689e-12) [Real/Imaginary Part] [Im]
                                                                                                     #---------------------------------------------------------------------------------------------------------------------------------------------                                                         NaN                                                         NaN
                                                                                                                                                                                                                                              2.968                                                    0.116276                                                    0.098909
                                                                                                                                                                                                                                              2.992                                                    0.117919                                                    0.098868
                                                                                                                                                                                                                                              3.016                                                    0.119567                                                    0.098808
                                                                                                                                                                                                                                               3.04                                                    0.121219                                                    0.098729
                                                                                                                                                                                                                                              3.064                                                    0.122875                                                    0.098631
                                                                                                                                                                                                                                              3.088                                                    0.124536                                                    0.098514
                                                                                                                                                                                                                                              3.112                                                    0.126201                                                    0.098378
                                                                                                                                                                                                                                              3.136                                                     0.12787                                                    0.098223
                                                                                                                                                                                                                                               3.16                                                    0.129542                                                    0.098049
                                                                                                                                                                                                                                              3.184                                                    0.131218                                                    0.097856
                                                                                                                                                                                                                                              3.208                                                    0.132897                                                    0.097643
                                                                                                                                                                                                                                              3.232                                                    0.134579                                                    0.097411
                                                                                                                                                                                                                                              3.256                                                    0.136263                                                     0.09716
                                                                                                                                                                                                                                               3.28                                                    0.137951                                                    0.096889
                                                                                                                                                                                                                                              3.304                                                     0.13964                                                    0.096599
                                                                                                                                                                                                                                              3.328                                                    0.141332                                                     0.09629
                                                                                                                                                                                                                                              3.352                                                    0.143026                                                    0.095961
                                                                                                                                                                                                                                              3.376                                                    0.144722                                                    0.095612
                                                                                                                                                                                                                                                3.4                                                    0.146419                                                    0.095244
                                                                                                                                                                                                                                              3.424                                                    0.148117                                                    0.094856
                                                                                                                                                                                                                                              3.448                                                    0.149816                                                    0.094448
                                                                                                                                                                                                                                              3.472                                                    0.151517                                                    0.094021
                                                                                                                                                                                                                                              3.496                                                    0.153218                                                    0.093574
                                                                                                                                                                                                                                               3.52                                                    0.154919                                                    0.093107
                                                                                                                                                                                                                                              3.544                                                    0.156621                                                    0.092621
                                                                                                                                                                                                                                              3.568                                                    0.158323                                                    0.092114
                                                                                                                                                                                                                                              3.592                                                    0.160024                                                    0.091588
                                                                                                                                                                                                                                              3.616                                                    0.161725                                                    0.091042
                                                                                                                                                                                                                                               3.64                                                    0.163426                                                    0.090477
                                                                                                                                                                                                                                              3.664                                                    0.165126                                                    0.089891
                                                                                                                                                                                                                                              3.688                                                    0.166824                                                    0.089286
                                                                                                                                                                                                                                              3.712                                                    0.168522                                                     0.08866
                                                                                                                                                                                                                                              3.736                                                    0.170218                                                    0.088015
                                                                                                                                                                                                                                               3.76                                                    0.171912                                                     0.08735
                                                                                                                                                                                                                                              3.784                                                    0.173605                                                    0.086665
                                                                                                                                                                                                                                              3.808                                                    0.175296                                                     0.08596
                                                                                                                                                                                                                                              3.832                                                    0.176984                                                    0.085236
                                                                                                                                                                                                                                              3.856                                                    0.178669                                                    0.084491
                                                                                                                                                                                                                                               3.88                                                    0.180352                                                    0.083727
                                                                                                                                                                                                                                              3.904                                                    0.182032                                                    0.082943
                                                                                                                                                                                                                                              3.928                                                    0.183709                                                    0.082139
                                                                                                                                                                                                                                              3.952                                                    0.185383                                                    0.081316
