#Parameters = {d=6.875; d_passa_faixa=11.118252561128; e=3.984381e-11; l=5; p=11; p_passa_faixa=11.773094507628; phi=0; r=300; theta=0; u=1.2566e-06; w=0.6875; w_passa_faixa=0.13385049465315; z_fss=0.2}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                        #"Frequency / GHz" SZmax(2),Zmax(2) [Real/Imaginary Part] [Re] SZmax(2),Zmax(2) [Real/Imaginary Part] [Im]
                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                         1                                   -0.009198                                    -0.03298
                                                                                                                                                                                                     1.024                                   -0.009732                                   -0.033689
                                                                                                                                                                                                     1.048                                   -0.010278                                   -0.034391
                                                                                                                                                                                                     1.072                                   -0.010837                                   -0.035088
                                                                                                                                                                                                     1.096                                   -0.011408                                   -0.035778
                                                                                                                                                                                                      1.12                                   -0.011993                                   -0.036462
                                                                                                                                                                                                     1.144                                   -0.012589                                   -0.037138
                                                                                                                                                                                                     1.168                                   -0.013198                                   -0.037808
                                                                                                                                                                                                     1.192                                   -0.013819                                   -0.038471
                                                                                                                                                                                                     1.216                                   -0.014453                                   -0.039127
                                                                                                                                                                                                      1.24                                   -0.015098                                   -0.039775
                                                                                                                                                                                                     1.264                                   -0.015756                                   -0.040415
                                                                                                                                                                                                     1.288                                   -0.016425                                   -0.041048
                                                                                                                                                                                                     1.312                                   -0.017107                                   -0.041673
                                                                                                                                                                                                     1.336                                     -0.0178                                    -0.04229
                                                                                                                                                                                                      1.36                                   -0.018505                                   -0.042899
                                                                                                                                                                                                     1.384                                   -0.019222                                     -0.0435
                                                                                                                                                                                                     1.408                                    -0.01995                                   -0.044092
                                                                                                                                                                                                     1.432                                   -0.020689                                   -0.044675
                                                                                                                                                                                                     1.456                                    -0.02144                                    -0.04525
                                                                                                                                                                                                      1.48                                   -0.022202                                   -0.045816
                                                                                                                                                                                                     1.504                                   -0.022976                                   -0.046372
                                                                                                                                                                                                     1.528                                    -0.02376                                    -0.04692
                                                                                                                                                                                                     1.552                                   -0.024555                                   -0.047458
                                                                                                                                                                                                     1.576                                   -0.025362                                   -0.047987
                                                                                                                                                                                                       1.6                                   -0.026179                                   -0.048506
                                                                                                                                                                                                     1.624                                   -0.027006                                   -0.049015
                                                                                                                                                                                                     1.648                                   -0.027844                                   -0.049514
                                                                                                                                                                                                     1.672                                   -0.028693                                   -0.050003
                                                                                                                                                                                                     1.696                                   -0.029552                                   -0.050482
                                                                                                                                                                                                      1.72                                   -0.030421                                   -0.050951
                                                                                                                                                                                                     1.744                                   -0.031301                                   -0.051409
                                                                                                                                                                                                     1.768                                    -0.03219                                   -0.051857
                                                                                                                                                                                                     1.792                                   -0.033089                                   -0.052294
                                                                                                                                                                                                     1.816                                   -0.033998                                    -0.05272
                                                                                                                                                                                                      1.84                                   -0.034917                                   -0.053135
                                                                                                                                                                                                     1.864                                   -0.035845                                   -0.053539
                                                                                                                                                                                                     1.888                                   -0.036783                                   -0.053931
                                                                                                                                                                                                     1.912                                    -0.03773                                   -0.054313
                                                                                                                                                                                                     1.936                                   -0.038686                                   -0.054682
                                                                                                                                                                                                      1.96                                   -0.039652                                    -0.05504
                                                                                                                                                                                                     1.984                                   -0.040626                                   -0.055387
                                                                                                                                                                                                     2.008                                   -0.041609                                   -0.055721
                                                                                                                                                                                                     2.032                                   -0.042601                                   -0.056044
                                                                                                                                                                                                     2.056                                   -0.043602                                   -0.056354
                                                                                                                                                                                                      2.08                                   -0.044611                                   -0.056652
                                                                                                                                                                                                     2.104                                   -0.045628                                   -0.056938
                                                                                                                                                                                                     2.128                                   -0.046653                                   -0.057211
                                                                                                                                                                                                     2.152                                   -0.047687                                   -0.057472
                                                                                                                                                                                                     2.176                                   -0.048728                                   -0.057719
                                                                                                                                                                                                       2.2                                   -0.049778                                   -0.057955
                                                                                                                                                                                                     2.224                                   -0.050835                                   -0.058177
                                                                                                                                                                                                     2.248                                   -0.051899                                   -0.058386
                                                                                                                                                                                                     2.272                                   -0.052971                                   -0.058582
                                                                                                                                                                                                     2.296                                    -0.05405                                   -0.058764
                                                                                                                                                                                                      2.32                                   -0.055137                                   -0.058934
                                                                                                                                                                                                     2.344                                    -0.05623                                   -0.059089
                                                                                                                                                                                                     2.368                                    -0.05733                                   -0.059232
                                                                                                                                                                                                     2.392                                   -0.058437                                    -0.05936
                                                                                                                                                                                                     2.416                                   -0.059551                                   -0.059475
                                                                                                                                                                                                      2.44                                   -0.060671                                   -0.059576
                                                                                                                                                                                                     2.464                                   -0.061797                                   -0.059662
                                                                                                                                                                                                     2.488                                    -0.06293                                   -0.059735
                                                                                                                                                                                                     2.512                                   -0.064068                                   -0.059794
                                                                                                                                                                                                     2.536                                   -0.065212                                   -0.059838
                                                                                                                                                                                                      2.56                                   -0.066362                                   -0.059868
                                                                                                                                                                                                     2.584                                   -0.067518                                   -0.059883
                                                                                                                                                                                                     2.608                                   -0.068679                                   -0.059884
                                                                                                                                                                                                     2.632                                   -0.069845                                    -0.05987
                                                                                                                                                                                                     2.656                                   -0.071016                                   -0.059841
                                                                                                                                                                                                      2.68                                   -0.072193                                   -0.059798
                                                                                                                                                                                                     2.704                                   -0.073374                                   -0.059739
                                                                                                                                                                                                     2.728                                   -0.074559                                   -0.059666
                                                                                                                                                                                                     2.752                                    -0.07575                                   -0.059577
                                                                                                                                                                                                     2.776                                   -0.076944                                   -0.059473
                                                                                                                                                                                                       2.8                                   -0.078143                                   -0.059354
                                                                                                                                                                                                     2.824                                   -0.079346                                    -0.05922
                                                                                                                                                                                                     2.848                                   -0.080552                                    -0.05907
                                                                                                                                                                                                     2.872                                   -0.081762                                   -0.058904
                                                                                                                                                                                                     2.896                                   -0.082976                                   -0.058723
                                                                                                                                                                                                      2.92                                   -0.084193                                   -0.058527
                                                                                                                                                                                                     2.944                                   -0.085414                                   -0.058314
                                                                                                                                                                                                     2.968                                   -0.086637                                   -0.058086
                                                                                                                                                                                                     2.992                                   -0.087863                                   -0.057842
                                                                                                                                                                                                     3.016                                   -0.089092                                   -0.057582
                                                                                                                                                                                                      3.04                                   -0.090324                                   -0.057306
                                                                                                                                                                                                     3.064                                   -0.091558                                   -0.057014
                                                                                                                                                                                                     3.088                                   -0.092794                                   -0.056705
                                                                                                                                                                                                     3.112                                   -0.094032                                    -0.05638
                                                                                                                                                                                                     3.136                                   -0.095272                                   -0.056039
                                                                                                                                                                                                      3.16                                   -0.096514                                   -0.055682
                                                                                                                                                                                                     3.184                                   -0.097757                                   -0.055308
                                                                                                                                                                                                     3.208                                   -0.099001                                   -0.054918
                                                                                                                                                                                                     3.232                                   -0.100247                                   -0.054511
                                                                                                                                                                                                     3.256                                   -0.101494                                   -0.054088
                                                                                                                                                                                                      3.28                                   -0.102741                                   -0.053648
                                                                                                                                                                                                     3.304                                   -0.103989                                   -0.053191
                                                                                                                                                                                                     3.328                                   -0.105238                                   -0.052718
                                                                                                                                                                                                     3.352                                   -0.106487                                   -0.052227
                                                                                                                                                                                                     3.376                                   -0.107736                                    -0.05172
                                                                                                                                                                                                       3.4                                   -0.108984                                   -0.051196
                                                                                                                                                                                                     3.424                                   -0.110233                                   -0.050655
                                                                                                                                                                                                     3.448                                   -0.111481                                   -0.050097
                                                                                                                                                                                                     3.472                                   -0.112729                                   -0.049522
                                                                                                                                                                                                     3.496                                   -0.113975                                   -0.048929
                                                                                                                                                                                                      3.52                                   -0.115221                                    -0.04832
                                                                                                                                                                                                     3.544                                   -0.116465                                   -0.047694
                                                                                                                                                                                                     3.568                                   -0.117708                                    -0.04705
                                                                                                                                                                                                     3.592                                    -0.11895                                   -0.046389
                                                                                                                                                                                                     3.616                                    -0.12019                                   -0.045711
                                                                                                                                                                                                      3.64                                   -0.121427                                   -0.045015
                                                                                                                                                                                                     3.664                                   -0.122663                                   -0.044302
