#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=6.5892246517659e-11; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                                                                        #"Frequency / GHz" SZmax(1),Zmax(1) [Real/Imaginary Part] [Re] SZmax(1),Zmax(1) [Real/Imaginary Part] [Im]
                                                                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                                                                     2.704                                   -0.714615                                    0.690215
                                                                                                                                                                                                                                                     2.728                                    -0.70948                                    0.695254
                                                                                                                                                                                                                                                     2.752                                   -0.704296                                    0.700263
                                                                                                                                                                                                                                                     2.776                                   -0.699065                                     0.70524
                                                                                                                                                                                                                                                       2.8                                   -0.693784                                    0.710186
                                                                                                                                                                                                                                                     2.824                                   -0.688456                                      0.7151
                                                                                                                                                                                                                                                     2.848                                   -0.683078                                    0.719982
                                                                                                                                                                                                                                                     2.872                                   -0.677652                                    0.724831
                                                                                                                                                                                                                                                     2.896                                   -0.672177                                    0.729646
                                                                                                                                                                                                                                                      2.92                                   -0.666652                                    0.734428
                                                                                                                                                                                                                                                     2.944                                   -0.661078                                    0.739176
                                                                                                                                                                                                                                                     2.968                                   -0.655454                                    0.743889
                                                                                                                                                                                                                                                     2.992                                   -0.649781                                    0.748567
                                                                                                                                                                                                                                                     3.016                                   -0.644058                                    0.753209
                                                                                                                                                                                                                                                      3.04                                   -0.638284                                    0.757816
                                                                                                                                                                                                                                                     3.064                                    -0.63246                                    0.762386
                                                                                                                                                                                                                                                     3.088                                   -0.626585                                    0.766919
                                                                                                                                                                                                                                                     3.112                                   -0.620659                                    0.771415
                                                                                                                                                                                                                                                     3.136                                   -0.614682                                    0.775873
                                                                                                                                                                                                                                                      3.16                                   -0.608654                                    0.780292
                                                                                                                                                                                                                                                     3.184                                   -0.602574                                    0.784672
                                                                                                                                                                                                                                                     3.208                                   -0.596442                                    0.789013
                                                                                                                                                                                                                                                     3.232                                   -0.590258                                    0.793313
                                                                                                                                                                                                                                                     3.256                                   -0.584021                                    0.797572
                                                                                                                                                                                                                                                      3.28                                   -0.577732                                    0.801791
                                                                                                                                                                                                                                                     3.304                                   -0.571389                                    0.805967
                                                                                                                                                                                                                                                     3.328                                   -0.564994                                      0.8101
                                                                                                                                                                                                                                                     3.352                                   -0.558544                                    0.814191
                                                                                                                                                                                                                                                     3.376                                   -0.552041                                    0.818237
                                                                                                                                                                                                                                                       3.4                                   -0.545483                                    0.822239
                                                                                                                                                                                                                                                     3.424                                    -0.53887                                    0.826195
                                                                                                                                                                                                                                                     3.448                                   -0.532202                                    0.830106
                                                                                                                                                                                                                                                     3.472                                   -0.525479                                    0.833969
                                                                                                                                                                                                                                                     3.496                                     -0.5187                                    0.837786
                                                                                                                                                                                                                                                      3.52                                   -0.511864                                    0.841554
                                                                                                                                                                                                                                                     3.544                                   -0.504972                                    0.845272
                                                                                                                                                                                                                                                     3.568                                   -0.498023                                    0.848941
